DestAddr,DestCode,DestName,Distance,Duration,OrigAddr,OrigCode,OrigName
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,2196895,73410,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,2858714,94735,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,878756,29634,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,705055,25410,"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,2833171,93132,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1163400,39387,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,1139577,38757,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1588484,53477,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,0,0,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,17223,1371,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,485297,17011,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,564517,19576,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,1622722,52325,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,464064,15996,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,2226324,72555,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1751478,58938,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,835590,28268,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3244599,104326,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3255279,104993,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,145344,5751,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,655014,22422,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,1303236,44321,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,1288793,43504,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3441325,112513,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,1238471,41980,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,751709,25432,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3354309,108018,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3438423,112524,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,3314125,107644,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,488124,16602,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1929940,63530,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1526698,52109,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,845342,28793,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
